wikipedia_movie_id,movie_box_office_revenue,currency_revenue,budget,currency_budget,opening_weekend,currency_opening_weekend,rating_score,producer,release_year
7362782,813813.0,$,,,4250.0,$,6.8,Hong Sang-soo,2006.0
1136182,31181347.0,$,18000000.0,$,4625583.0,$,7.3,Agnieszka Holland,1993.0
11195154,7356393.0,$,,,63837.0,$,7.0,Arnaud Desplechin,2008.0
6342627,68716.0,$,1200000.0,$,1710.0,$,5.8,Matthew Bright,2002.0
2485103,13253583.0,$,5500000.0,$,,,6.4,Gary Sherman,1982.0
532618,141220678.0,$,45000000.0,$,20503356.0,$,5.4,Keenen Ivory Wayans,2001.0
26978561,8266778.0,$,45000000.0,$,,,4.3,Nikita Mikhalkov,2010.0
3374650,,,,,,,7.6,Delmer Daves,1957.0
6976850,29725663.0,$,73000000.0,$,11548898.0,$,2.5,Roger Christian,2000.0
9723255,,,1600000.0,$,,,5.4,Michael Schroeder,1989.0
10806577,,,920000.0,$,,,6.7,George Stevens,1940.0
7160018,7248490.0,$,13000000.0,$,20220.0,$,6.2,Vadim Perelman,2008.0
26429300,1827047.0,$,1200000.0,$,,,5.0,Hasan Karacadag,2008.0
26514248,459824.0,$,14000000.0,$,,,6.1,Peter Yates,1988.0
920613,461996328.0,$,120000000.0,$,60119509.0,$,7.3,John Lasseter,2006.0
2372994,149705852.0,$,95000000.0,$,22332053.0,$,6.4,Simon West,1999.0
10499315,688145.0,$,15000000.0,$,,,5.1,Tim Hamilton,2007.0
22318957,10903312.0,$,47000000.0,$,5379365.0,$,4.7,Jimmy Hayward,2010.0
2513887,,,1114000.0,$,,,7.5,Rouben Mamoulian,1934.0
5843155,,,,,,,5.3,Norman Taurog,1956.0
2165760,,,,,,,7.1,Anthony Mann,1954.0
6954370,27807627.0,$,35000000.0,$,6624445.0,$,6.4,Garry Marshall,1999.0
4179778,4134992.0,$,10000000.0,$,2149786.0,$,5.5,James D. Parriott,1990.0
2037403,10489617.0,$,,,3536309.0,$,5.6,Paul Schrader,1987.0
60164,9767242.0,$,3180000.0,$,44000.0,$,8.6,Frank Capra,1947.0
32683873,56012642.0,$,25000000.0,$,10822903.0,$,6.6,Peter Hedges,2012.0
26640605,,,,,,,5.4,Henry Hathaway,1955.0
22291276,960387.0,$,,,182943.0,$,7.6,Kristopher Belman,2009.0
3869472,,,1003000.0,$,,,7.0,Alex Segal,1956.0
10815122,,,,,,,7.3,Sammo Kam-Bo Hung,1982.0
2200771,3530.0,$,,,,,6.6,Josef von Sternberg,1952.0
7330661,47232776.0,$,51000000.0,$,12001256.0,$,5.1,John Whitesell,2006.0
10061978,115900897.0,$,70000000.0,$,12884416.0,$,7.0,Ridley Scott,2008.0
1356982,53696959.0,$,58000000.0,$,5563259.0,$,6.3,Sydney Pollack,1995.0
3934285,8224998.0,$,15000000.0,$,3400000.0,$,5.5,Wil Shriner,2006.0
1073955,43700855.0,$,7500000.0,$,11197897.0,$,7.0,George Tillman Jr.,1997.0
3920193,171632777.0,$,25000000.0,$,1202000.0,$,8.2,Ethan Coen,2007.0
5800622,31753898.0,$,,,3676530.0,$,7.7,Jean-Jacques Annaud,1989.0
1364770,96618699.0,$,40000000.0,$,14252888.0,$,6.6,Joel Schumacher,1999.0
4143719,10424645.0,$,40000000.0,$,4702625.0,$,5.5,James L. Brooks,1994.0
541642,67917359.0,$,27500000.0,$,8902564.0,$,6.5,John Glen,1983.0
2528212,48618191.0,$,6000000.0,$,142899.0,$,7.6,Kevin Macdonald,2007.0
2082089,295683.0,$,,,41620.0,$,4.9,Alan Rudolph,2000.0
10328139,5530764.0,$,20000000.0,$,90400.0,$,6.7,Rian Johnson,2009.0
23961650,,,,,,,5.5,George Beck,1951.0
201448,71215869.0,$,7500000.0,$,2111582.0,$,6.9,John Lounsbery,1977.0
350629,19853898.0,$,,,174650.0,$,6.9,Ken Russell,1980.0
4018828,87528173.0,$,50000000.0,$,16414767.0,$,5.6,Barry Sonnenfeld,2006.0
709318,103370281.0,$,90000000.0,$,21406781.0,$,5.4,Frank Oz,2004.0
21404478,108918.0,$,2000000.0,CA$,,,7.0,Michael McGowan,2009.0
320502,779137.0,$,1000000.0,$,18006.0,$,6.6,Henry Bromell,2001.0
