wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
172534,49042224.0,25000000.0,12653032.0,5.8,George P. Cosmatos,1986
172666,7206823.0,4500000.0,,7.1,Samuel Fuller,1980
176489,39404261.0,25000000.0,9252232.0,5.9,John Patrick Shanley,1990
177783,,239000.0,,6.4,Lowell Sherman,1933
183740,20428771.0,8000000.0,,6.7,King Vidor,1947
183797,,1360286.0,,6.3,Stuart Heisler,1947
187091,,,,7.5,William Wyler,1952
187095,,,,7.1,Curtis Bernhardt,1951
187100,,,,7.5,Daniel Mann,1953
187103,24759.0,720000.0,11126.0,7.5,David Miller,1952
187107,,,,7.0,Stuart Heisler,1952
187115,,,,6.7,Walter Lang,1952
187616,16647800.0,12000000.0,,6.7,Don Taylor,1980
187635,,1353000.0,,7.3,Charles Walters,1953
187642,,400000.0,,6.7,Otto Preminger,1953
190392,,2147000.0,,7.2,Daniel Mann,1955
190398,,2367000.0,,6.7,Curtis Bernhardt,1955
190416,51.0,,,7.3,Elia Kazan,1956
193845,,965000.0,,7.2,Nunnally Johnson,1957
193847,,3000000.0,,7.3,John Huston,1957
193854,,1383578.0,,7.5,Robert Wise,1958
193867,8722.0,2800000.0,,6.3,Daniel Mann,1960
199505,10353438.0,,3498931.0,6.4,Carl Reiner,1983
204774,7447084.0,4000000.0,69408.0,8.1,Kaige Chen,1993
210224,,8500000.0,,7.2,Robert Mulligan,1963
210316,254683.0,3500000.0,26285.0,6.0,Gus Van Sant,2002
212090,,2423000.0,,6.6,George Sidney,1953
213224,11155214.0,8000000.0,150171.0,6.9,E. Elias Merhige,2001
213471,3292977.0,,32779.0,8.0,Kar-Wai Wong,1996
217776,,,,7.8,Sydney Pollack,1970
217784,11683047.0,26000000.0,3255033.0,5.8,Gary Halvorson,1999
217819,8768.0,15000000.0,,7.4,David Lean,1970
221489,4089145.0,,65299.0,7.0,Pedro Almodóvar,1990
223902,34741.0,2500000.0,,7.1,Alan J. Pakula,1971
224224,11798616.0,,60119.0,7.7,Woody Allen,1983
224487,23280529.0,5000000.0,,6.2,Mark Mylod,2002
225459,,,,7.0,Sidney J. Furie,1972
237134,2639356.0,1162000.0,16668.0,8.1,Wim Wenders,1984
239532,88.0,4000000.0,,6.2,Alfred Hitchcock,1969
240357,10432366.0,10000000.0,,7.3,Woody Allen,1978
240369,29174648.0,8500000.0,793063.0,6.9,Mark Rydell,1979
240371,69847348.0,9500000.0,4739769.0,6.2,Howard Zieff,1980
240376,25524778.0,,,6.4,Glenn Jordan,1981
241171,38934048.0,7500000.0,4895421.0,6.6,John Hughes,1985
242104,5975220.0,3000000.0,23567.0,7.3,Bill Forsyth,1983
242525,28229440.0,,139634.0,7.6,Blake Edwards,1982
242528,,,11624.0,7.2,Graeme Clifford,1983
242539,129795890.0,7500000.0,3304679.0,7.1,Taylor Hackford,1982
246556,25147055.0,15000000.0,5069926.0,5.9,Sidney Lumet,1986
249838,3802260.0,4500000.0,900902.0,7.3,Lana Wachowski,1996
255194,13358.0,2700000.0,,6.9,Charles Walters,1956
286836,409144.0,7000000.0,31850.0,6.9,Michael Winterbottom,1996
286852,13406717.0,15000000.0,4315310.0,4.7,Michael Gottlieb,1995
287404,6789.0,4258000.0,,6.5,Alfred Hitchcock,1948
289890,62870546.0,,6097758.0,6.1,Francis Glebas,2003
303039,220198.0,,120932.0,2.6,John Murlowski,1996
303847,2581012.0,,78151.0,6.9,Richard Kwietniowski,1998
304725,72270891.0,11000000.0,10026900.0,5.5,Dennis Dugan,1990
306195,110627965.0,22000000.0,10037745.0,6.0,Irwin Winkler,1995
307080,54218591.0,6500000.0,5651990.0,6.9,Luis Valdez,1987
307158,2838654.0,575000.0,,6.8,Alan Parker,1976
309070,,5400000.0,,7.7,Robert Aldrich,1967
314093,1193062.0,6000000.0,638625.0,2.9,David Kellogg,1991
314775,20883046.0,40000000.0,5240375.0,6.0,Fred Schepisi,1992
331860,2087228.0,450000.0,118594.0,7.2,Jim Fall,1999
333492,26491793.0,,8434651.0,5.2,David Mickey Evans,1996
339516,,,,4.6,Bert I. Gordon,1958
343404,1831547.0,1100000.0,,7.5,Bruce Robinson,1987
343684,8926413.0,8000000.0,3441807.0,7.1,John Carpenter,1995
344978,4555020.0,200000.0,74118.0,7.2,Doug Liman,1997
347235,19721741.0,8000000.0,6667118.0,6.4,Wes Craven,1994
348979,74151346.0,31000000.0,4022752.0,6.6,George Scribner,1988
349005,20305841.0,,5029640.0,5.5,Iwao Takamoto,1990
350629,19853898.0,,174650.0,6.9,Ken Russell,1980
357525,,20000000.0,,7.1,Robert Stevenson,1971
358263,21706547.0,8000000.0,302216.0,7.5,Robert Altman,1992
363929,6472990.0,12000000.0,,6.8,Bob Fosse,1984
364541,28202109.0,6500000.0,5710734.0,5.7,John R. Cherry III,1988
384209,10600000.0,725000.0,,6.9,Clint Eastwood,1971
390867,6157157.0,5000000.0,2251831.0,6.9,Jay Levey,1989
396282,16597016.0,9500000.0,5218040.0,6.5,Stan Lathan,1984
397753,8025872.0,4700000.0,2822439.0,5.6,Tobe Hooper,1986
402890,,1800000.0,,7.8,William Dieterle,1939
409817,,1196000.0,,6.9,H.C. Potter,1939
410832,18994653.0,,5715435.0,6.1,Luis Llosa,1993
412475,,,,6.4,Raoul Walsh,1951
413426,,5800000.0,,6.6,Alex Cox,1987
415074,19748009.0,19000000.0,4154932.0,4.2,Britt Allcroft,2000
431251,9914409.0,,120108.0,7.4,Bernard Rose,1995
441926,14516248.0,200000.0,,7.9,Sergio Leone,1967
442675,31063038.0,4015000.0,,6.6,Mel Brooks,1977
444245,29302121.0,35000000.0,6406012.0,6.6,Danny DeVito,1992
444906,4221036.0,2000000.0,100654.0,7.0,Atom Egoyan,1995
444919,,,,6.1,Lee Sholem,1953
445937,,12000000.0,,5.2,Charles Jarrott,1973
448331,28277918.0,,4207923.0,6.4,Michael Apted,1991
448385,38575.0,1800000.0,,7.4,Michelangelo Antonioni,1967
451898,1293976.0,13000000.0,112188.0,6.4,Dennis Hopper,1990
452211,1498795.0,,57280.0,6.7,David Cronenberg,1993
464128,32211330.0,,,7.3,Michael Ritchie,1976
464189,,1250000.0,,6.9,Michael Crichton,1973
472897,,,,6.4,Allan Dwan,1955
