wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue_x,movie_runtime,movie_languages,movie_countries,movie_genres
33770950,/m/04j32zb,"Aloha, Bobby and Rose",1975.0,35000000.0,85.0,[],['United States of America'],"['Crime Fiction', 'Indie', 'Chase Movie', 'Road movie', 'Crime Drama', 'Drama', 'Romantic drama', 'Romance Film']"
11532350,/m/02rh0r_,Monkey Trouble,1994.0,16453258.0,87.0,['English Language'],['United States of America'],"['Adventure', ""Children's/Family"", 'Animal Picture', 'Comedy', 'Family Film', 'Family-Oriented Adventure']"
7489581,/m/0kv8_w,Body of Evidence,1993.0,13275426.0,101.0,['English Language'],"['United States of America', 'Germany']","['Thriller', 'Romance Film', 'Drama']"
2174599,/m/06sfk6,The Siege,1998.0,116672912.0,115.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Action/Adventure', 'Drama', 'War film', 'Action', 'Political drama']"
7887331,/m/026hpg_,My Favorite Martian,1999.0,36850101.0,94.0,['English Language'],['United States of America'],"['Science Fiction', 'Family Film', 'Comedy']"
957322,/m/03t95n,The Scorpion King,2002.0,90341670.0,92.0,['English Language'],"['United States of America', 'Belgium', 'Germany']","['Thriller', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Romance Film', 'Action']"
193847,/m/01bj82,"Heaven Knows, Mr. Allison",1957.0,4200000.0,107.0,"['Japanese Language', 'English Language']",['United States of America'],"['Comedy-drama', 'Action/Adventure', 'Drama', 'War film', 'Romantic drama', 'Romance Film', 'Action']"
6559383,/m/0gbklz,You Kill Me,2007.0,3382515.0,92.0,['English Language'],['United States of America'],"['Crime Fiction', 'Crime Comedy', 'Gangster Film', 'Action/Adventure', 'Comedy', 'Black comedy', 'Action']"
3454713,/m/09db0b,Racing with the Moon,1984.0,6045657.0,108.0,['English Language'],['United States of America'],"['Romantic comedy', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
2906058,/m/08bq1f,Black Dog,1998.0,12951088.0,88.0,['English Language'],"['United States of America', 'France', 'Japan', 'United Kingdom', 'Germany']","['Thriller', 'Crime Fiction', 'Japanese Movies', 'Action Thrillers', 'Action/Adventure', 'Drama', 'Action']"
1808380,/m/05yllc,Not Without My Daughter,1991.0,14789113.0,116.0,"['Persian Language', 'English Language']",['United States of America'],"['Thriller', 'Drama', 'Political drama', 'Docudrama', 'Escape Film']"
6197489,/m/0fw8x1,The Importance of Being Earnest,2002.0,17290970.0,93.0,['English Language'],"['United States of America', 'United Kingdom']","['Romantic comedy', 'Costume drama', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
8538374,/m/02772bj,The Last Mimzy,2007.0,27297450.0,97.0,"['English Language', 'Spanish Language']",['United States of America'],"['Science Fiction', 'Adventure', ""Children's/Family"", 'Fantasy', ""Children's Fantasy"", 'Family Film']"
210155,/m/01dvbt,The Core,2003.0,73498611.0,130.0,['English Language'],"['United States of America', 'United Kingdom']","['Thriller', 'Science Fiction', 'Adventure', 'Doomsday film', 'Action/Adventure', 'Drama', 'Disaster', 'Action']"
3038054,/m/08md6z,A Nightmare on Elm Street 5: The Dream Child,1989.0,22168359.0,90.0,['English Language'],['United States of America'],"['Horror', 'Slasher', 'Teen', 'Supernatural']"
1519082,/m/057jdv,The Pacifier,2005.0,198636868.0,95.0,"['Korean Language', 'English Language']","['United States of America', 'Canada']","['Thriller', 'Action Comedy', 'Drama', 'Comedy', 'Family Film', 'Action']"
177741,/m/0183x1,Min and Bill,1930.0,2000000.0,66.0,['English Language'],['United States of America'],"['Melodrama', 'Drama', 'Black-and-white']"
21678052,/m/075wx7_,Eclipse,2010.0,698491347.0,124.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Vampire movies', 'Horror', 'Adventure', 'Fantasy', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film']"
9170249,/m/027_10h,I'd Climb the Highest Mountain,1951.0,2150000.0,88.0,['English Language'],['United States of America'],"['Biographical film', 'Drama', 'Romance Film']"
399433,/m/023p7l,Pocahontas,1995.0,346079773.0,91.0,['English Language'],['United States of America'],"['Adventure', 'History', 'Animation', 'Musical', ""Children's"", 'Drama', 'Costume drama', 'Music', 'Family Film', 'Romance Film']"
3645005,/m/09rx_8,Revenge of the Pink Panther,1978.0,49579269.0,99.0,['English Language'],"['United States of America', 'United Kingdom']","['Parody', 'Thriller', 'Action/Adventure', 'Comedy', 'Crime Thriller', 'Family Film', 'Action', 'Slapstick']"
30955314,/m/0gg972_,The Happy Life,2007.0,8664972.0,112.0,['Korean Language'],['South Korea'],['Comedy']
9382558,/m/0286n54,To the Shores of Tripoli,1941.0,2000000.0,86.0,['English Language'],['United States of America'],"['Romance Film', 'Drama', 'Comedy', 'War film']"
1458752,/m/05351g,Muppet Treasure Island,1996.0,34327391.0,95.0,['English Language'],['United States of America'],"['Adventure', ""Children's/Family"", 'Musical', ""Children's"", 'Comedy', 'Music', 'Family Film', 'Family-Oriented Adventure']"
1346905,/m/04vl27,The Kid,1921.0,2500000.0,60.0,"['Silent film', 'English Language']",['United States of America'],"['Silent film', 'Drama', 'Indie', 'Black-and-white', 'Comedy']"
1051820,/m/041s4z,She's All That,1999.0,103166989.0,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy-drama', 'Comedy', 'Teen']"
